[2025-09-27 21:08:39] [INFO    ] discord.client: logging in using static token
[2025-09-27 21:08:43] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'AUI | Afaq Ul Islam Bot', 'primary_guild': None, 'mfa_enabled': False, 'id': '1420419442860363919', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '0296', 'clan': None, 'bot': True, 'avatar': '937d671b14874654b854d25020565984'}, 'session_type': 'normal', 'session_id': '6394ca6f0d8fdf66a1d4e39bb52a4e0c', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1420422988490084424'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['india', 'dubai', 'saudi-arabia', 'tel-aviv', 'bucharest'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1420419442860363919', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-b-tj8d",{"micros":147091,"calls":["id_created",{"micros":451,"calls":[]},"session_lookup_time",{"micros":289,"calls":[]},"session_lookup_finished",{"micros":9,"calls":[]},"discord-sessions-prd-2-133",{"micros":145863,"calls":["start_session",{"micros":119455,"calls":["discord-api-rpc-56d7fd67b7-6rs8h",{"micros":72521,"calls":["get_user",{"micros":8078},"get_guilds",{"micros":17424},"send_scheduled_deletion_message",{"micros":14},"guild_join_requests",{"micros":2698},"authorized_ip_coro",{"micros":13},"pending_payments",{"micros":36474},"apex_experiments",{"micros":3093},"user_activities",{"micros":7},"played_application_ids",{"micros":3}]}]},"starting_guild_connect",{"micros":27,"calls":[]},"presence_started",{"micros":7057,"calls":[]},"guilds_started",{"micros":53,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":19164,"calls":[]},"connect_finished",{"micros":19252,"calls":[]},"build_ready",{"micros":16,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-09-27 21:08:43] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-27 21:08:43] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 6394ca6f0d8fdf66a1d4e39bb52a4e0c).
[2025-09-27 21:08:43] [DEBUG   ] discord.client: Dispatching event connect
[2025-09-27 21:08:43] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'system_channel_flags': 0, 'owner_configured_content_level': 0, 'afk_channel_id': None, 'moderator_reporting': None, 'premium_tier': 0, 'profile': None, 'embedded_activities': [], 'activity_instances': [], 'rules_channel_id': None, 'application_command_counts': {}, 'default_message_notifications': 0, 'presences': [], 'unavailable': False, 'mfa_level': 0, 'owner_id': '1213139995179618424', 'id': '1420422988490084424', 'preferred_locale': 'en-US', 'nsfw_level': 0, 'application_id': None, 'name': 'AUI | Afaq Ul Islam Server', 'nsfw': False, 'discovery_splash': None, 'members': [{'user': {'username': 'AUI | Afaq Ul Islam Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1420419442860363919', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0296', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '937d671b14874654b854d25020565984'}, 'roles': ['1420425783897358387'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-24T15:04:57.157000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'latest_onboarding_question_id': None, 'threads': [], 'system_channel_id': '1420422989865812050', 'stickers': [], 'region': 'deprecated', 'member_count': 2, 'soundboard_sounds': [], 'home_header': None, 'description': None, 'max_video_channel_users': 25, 'lazy': True, 'afk_timeout': 300, 'hub_type': None, 'stage_instances': [], 'public_updates_channel_id': None, 'voice_states': [], 'guild_scheduled_events': [], 'max_members': 25000000, 'premium_features': None, 'large': False, 'banner': None, 'incidents_data': None, 'emojis': [], 'features': [], 'safety_alerts_channel_id': None, 'max_stage_video_channel_users': 50, 'premium_progress_bar_enabled': False, 'splash': None, 'verification_level': 0, 'roles': [{'version': 1758725630963, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1420422988490084424', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1758731361125, 'unicode_emoji': None, 'tags': {'bot_id': '1420419442860363919'}, 'position': 2, 'permissions': '563276642905152', 'name': 'AUI | Afaq Ul Islam Bot', 'mentionable': False, 'managed': True, 'id': '1420425783897358387', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1758728662422, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'Gamer', 'mentionable': False, 'managed': False, 'id': '1420435586057109544', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'version': 1758726683089, 'vanity_url_code': None, 'inventory_settings': None, 'joined_at': '2025-09-24T15:04:57.157000+00:00', 'icon': 'b59e5b17f51842ea6f677c54fd63c5b4', 'explicit_content_filter': 0, 'channels': [{'version': 1758725630968, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text channels', 'id': '1420422989865812048', 'flags': 0}, {'version': 1758725630976, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice channels', 'id': '1420422989865812049', 'flags': 0}, {'version': 1758725630982, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1420422989865812048', 'name': 'general', 'last_message_id': '1421527644566196346', 'id': '1420422989865812050', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1758725630987, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1420422989865812049', 'name': 'General', 'last_message_id': None, 'id': '1420422989865812051', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'premium_subscription_count': 0}}
[2025-09-27 21:08:43] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-27 21:08:44] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': 'aafd0569f1e1ff0448dabe8a8783c78b', 'members': [{'user': {'username': 'afaqulislam707gmail.com', 'public_flags': 0, 'primary_guild': None, 'id': '1213139995179618424', 'global_name': 'Aғᴀϙ Uʟ Isʟᴀᴍ', 'display_name_styles': None, 'display_name': 'Aғᴀϙ Uʟ Isʟᴀᴍ', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'c30fbd197c0d00a8964d2c5ee2713cb1'}, 'roles': ['1420435586057109544'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-24T14:53:50.896000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'AUI | Afaq Ul Islam Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1420419442860363919', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0296', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '937d671b14874654b854d25020565984'}, 'roles': ['1420425783897358387'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-24T15:04:57.157000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1420422988490084424', 'chunk_index': 0, 'chunk_count': 1}}
[2025-09-27 21:08:44] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-27 21:08:44] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1420422988490084424.
[2025-09-27 21:08:45] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-09-27 21:08:45] [DEBUG   ] discord.client: Dispatching event ready
[2025-09-27 21:08:51] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-09-27T16:08:55.163000+00:00', 'pinned': False, 'nonce': '1421529027478290432', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1420435586057109544'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-24T14:53:50.896000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1421529045429915698', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'hi', 'components': [], 'channel_type': 0, 'channel_id': '1420422989865812050', 'author': {'username': 'afaqulislam707gmail.com', 'public_flags': 0, 'primary_guild': None, 'id': '1213139995179618424', 'global_name': 'Aғᴀϙ Uʟ Isʟᴀᴍ', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'c30fbd197c0d00a8964d2c5ee2713cb1'}, 'attachments': [], 'guild_id': '1420422988490084424'}}
[2025-09-27 21:08:51] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-27 21:08:51] [DEBUG   ] discord.client: Dispatching event message
[2025-09-27 21:08:54] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1420422989865812050/messages with {"content":"Hi! How can I help you today? \ud83d\ude0a\n\n---\n\ud83d\udc68\u200d\ud83d\udcbb Developed by Afaq Ul Islam","components":[],"nonce":"15559202319662359565","enforce_nonce":true,"tts":false} has returned 200
[2025-09-27 21:08:54] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-09-27 21:08:54] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1420422989865812050/messages has received {'type': 0, 'content': 'Hi! How can I help you today? 😊\n\n---\n👨\u200d💻 Developed by Afaq Ul Islam', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-09-27T16:08:58.827000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1421529060798103704', 'channel_id': '1420422989865812050', 'author': {'id': '1420419442860363919', 'username': 'AUI | Afaq Ul Islam Bot', 'avatar': '937d671b14874654b854d25020565984', 'discriminator': '0296', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '15559202319662359565'}
[2025-09-27 21:08:55] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-09-27T16:08:58.827000+00:00', 'pinned': False, 'nonce': '15559202319662359565', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1420425783897358387'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-24T15:04:57.157000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1421529060798103704', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'Hi! How can I help you today? 😊\n\n---\n👨\u200d💻 Developed by Afaq Ul Islam', 'components': [], 'channel_type': 0, 'channel_id': '1420422989865812050', 'author': {'username': 'AUI | Afaq Ul Islam Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1420419442860363919', 'global_name': None, 'display_name_styles': None, 'discriminator': '0296', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '937d671b14874654b854d25020565984'}, 'attachments': [], 'guild_id': '1420422988490084424'}}
[2025-09-27 21:08:55] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-27 21:08:55] [DEBUG   ] discord.client: Dispatching event message
[2025-09-27 21:09:04] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 6, 'op': 0, 'd': {'user_id': '1213139995179618424', 'timestamp': 1758989348, 'member': {'user': {'username': 'afaqulislam707gmail.com', 'public_flags': 0, 'primary_guild': None, 'id': '1213139995179618424', 'global_name': 'Aғᴀϙ Uʟ Isʟᴀᴍ', 'display_name_styles': None, 'display_name': 'Aғᴀϙ Uʟ Isʟᴀᴍ', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'c30fbd197c0d00a8964d2c5ee2713cb1'}, 'roles': ['1420435586057109544'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-24T14:53:50.896000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1420422989865812050', 'guild_id': '1420422988490084424'}}
[2025-09-27 21:09:04] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-27 21:09:04] [DEBUG   ] discord.client: Dispatching event typing
[2025-09-27 21:09:04] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-09-27 21:09:06] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 7, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-09-27T16:09:09.779000+00:00', 'pinned': False, 'nonce': '1421529089172307968', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1420435586057109544'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-24T14:53:50.896000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1421529106733989899', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': "how are yiu'", 'components': [], 'channel_type': 0, 'channel_id': '1420422989865812050', 'author': {'username': 'afaqulislam707gmail.com', 'public_flags': 0, 'primary_guild': None, 'id': '1213139995179618424', 'global_name': 'Aғᴀϙ Uʟ Isʟᴀᴍ', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'c30fbd197c0d00a8964d2c5ee2713cb1'}, 'attachments': [], 'guild_id': '1420422988490084424'}}
[2025-09-27 21:09:06] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-27 21:09:06] [DEBUG   ] discord.client: Dispatching event message
[2025-09-27 21:09:08] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1420422989865812050/messages with {"content":"I'm doing great, thanks! Just here chilling in the digital world. How about you? \ud83d\ude0a\n\n---\n\ud83d\udc68\u200d\ud83d\udcbb Developed by Afaq Ul Islam","components":[],"nonce":"9359776089585048296","enforce_nonce":true,"tts":false} has returned 200
[2025-09-27 21:09:08] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1420422989865812050/messages has received {'type': 0, 'content': "I'm doing great, thanks! Just here chilling in the digital world. How about you? 😊\n\n---\n👨\u200d💻 Developed by Afaq Ul Islam", 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-09-27T16:09:12.743000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1421529119165775892', 'channel_id': '1420422989865812050', 'author': {'id': '1420419442860363919', 'username': 'AUI | Afaq Ul Islam Bot', 'avatar': '937d671b14874654b854d25020565984', 'discriminator': '0296', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '9359776089585048296'}
[2025-09-27 21:09:08] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 8, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-09-27T16:09:12.743000+00:00', 'pinned': False, 'nonce': '9359776089585048296', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1420425783897358387'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-24T15:04:57.157000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1421529119165775892', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': "I'm doing great, thanks! Just here chilling in the digital world. How about you? 😊\n\n---\n👨\u200d💻 Developed by Afaq Ul Islam", 'components': [], 'channel_type': 0, 'channel_id': '1420422989865812050', 'author': {'username': 'AUI | Afaq Ul Islam Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1420419442860363919', 'global_name': None, 'display_name_styles': None, 'discriminator': '0296', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '937d671b14874654b854d25020565984'}, 'attachments': [], 'guild_id': '1420422988490084424'}}
[2025-09-27 21:09:08] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-27 21:09:08] [DEBUG   ] discord.client: Dispatching event message
[2025-09-27 21:09:18] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 9, 'op': 0, 'd': {'user_id': '1213139995179618424', 'timestamp': 1758989362, 'member': {'user': {'username': 'afaqulislam707gmail.com', 'public_flags': 0, 'primary_guild': None, 'id': '1213139995179618424', 'global_name': 'Aғᴀϙ Uʟ Isʟᴀᴍ', 'display_name_styles': None, 'display_name': 'Aғᴀϙ Uʟ Isʟᴀᴍ', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'c30fbd197c0d00a8964d2c5ee2713cb1'}, 'roles': ['1420435586057109544'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-24T14:53:50.896000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1420422989865812050', 'guild_id': '1420422988490084424'}}
[2025-09-27 21:09:18] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-27 21:09:18] [DEBUG   ] discord.client: Dispatching event typing
[2025-09-27 21:09:18] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-09-27 21:09:19] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 10, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-09-27T16:09:23.011000+00:00', 'pinned': False, 'nonce': '1421529144499372032', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1420435586057109544'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-24T14:53:50.896000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1421529162232893522', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!help', 'components': [], 'channel_type': 0, 'channel_id': '1420422989865812050', 'author': {'username': 'afaqulislam707gmail.com', 'public_flags': 0, 'primary_guild': None, 'id': '1213139995179618424', 'global_name': 'Aғᴀϙ Uʟ Isʟᴀᴍ', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'c30fbd197c0d00a8964d2c5ee2713cb1'}, 'attachments': [], 'guild_id': '1420422988490084424'}}
[2025-09-27 21:09:19] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-27 21:09:19] [DEBUG   ] discord.client: Dispatching event message
[2025-09-27 21:09:19] [DEBUG   ] discord.client: Dispatching event command
[2025-09-27 21:09:20] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1420422989865812050/messages with {"content":"```\n\u200bNo Category:\n  assign \n  clear  Clear messages from the chat\n  close  \n  hello  \n  help   Shows this message\n  poll   \n  remove \n  secret \n  ticket \n\nType !help command for more info on a command.\nYou can also type !help category for more info on a category.\n```","components":[],"nonce":"12367655520959197816","enforce_nonce":true,"tts":false} has returned 200
[2025-09-27 21:09:20] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1420422989865812050/messages has received {'type': 0, 'content': '```\n\u200bNo Category:\n  assign \n  clear  Clear messages from the chat\n  close  \n  hello  \n  help   Shows this message\n  poll   \n  remove \n  secret \n  ticket \n\nType !help command for more info on a command.\nYou can also type !help category for more info on a category.\n```', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-09-27T16:09:23.436000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1421529164015603865', 'channel_id': '1420422989865812050', 'author': {'id': '1420419442860363919', 'username': 'AUI | Afaq Ul Islam Bot', 'avatar': '937d671b14874654b854d25020565984', 'discriminator': '0296', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '12367655520959197816'}
[2025-09-27 21:09:20] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-09-27 21:09:20] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 11, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-09-27T16:09:23.436000+00:00', 'pinned': False, 'nonce': '12367655520959197816', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1420425783897358387'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-24T15:04:57.157000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1421529164015603865', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '```\n\u200bNo Category:\n  assign \n  clear  Clear messages from the chat\n  close  \n  hello  \n  help   Shows this message\n  poll   \n  remove \n  secret \n  ticket \n\nType !help command for more info on a command.\nYou can also type !help category for more info on a category.\n```', 'components': [], 'channel_type': 0, 'channel_id': '1420422989865812050', 'author': {'username': 'AUI | Afaq Ul Islam Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1420419442860363919', 'global_name': None, 'display_name_styles': None, 'discriminator': '0296', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '937d671b14874654b854d25020565984'}, 'attachments': [], 'guild_id': '1420422988490084424'}}
[2025-09-27 21:09:20] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-27 21:09:20] [DEBUG   ] discord.client: Dispatching event message
[2025-09-27 21:09:24] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 11.
[2025-09-27 21:09:25] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
